chain,triple,err_lucj,S0
newchain02,"(0, 1, 8)",581.2905063404168,11.2695437397008
newchain02,"(0, 1, 9)",612.0127917742906,12.151581760149767
newchain02,"(0, 2, 3)",577.7432648588637,5.56918897848759
newchain02,"(0, 2, 4)",584.0329790456647,5.291844210363828
newchain02,"(0, 2, 5)",590.8322432763154,5.291844210363828
newchain02,"(0, 2, 6)",590.1658323107038,5.569188978487591
newchain02,"(0, 2, 7)",566.2654588414684,5.943769607071405
newchain02,"(0, 2, 8)",526.4749430372007,8.606656673386103
newchain02,"(0, 2, 9)",600.5351724647801,9.488694693835068
newchain02,"(0, 3, 4)",569.0539849202994,4.917263581780013
newchain02,"(0, 3, 5)",574.966538358896,4.917263581780013
newchain02,"(0, 3, 6)",573.8202920350445,5.194608349903776
newchain02,"(0, 3, 7)",548.0132350759952,5.56918897848759
newchain02,"(0, 3, 8)",513.7175620230261,8.232076044802287
newchain02,"(0, 3, 9)",586.1968616709489,9.114114065251254
newchain02,"(0, 4, 5)",582.9111803237784,4.639918813656251
newchain02,"(0, 4, 6)",580.1835538437139,4.917263581780014
newchain02,"(0, 4, 7)",554.0074646138872,5.291844210363828
newchain02,"(0, 4, 8)",520.3557459407593,7.954731276678526
newchain02,"(0, 4, 9)",592.5848355370186,8.836769297127493
newchain02,"(0, 5, 6)",586.2869365842771,4.917263581780014
newchain02,"(0, 5, 7)",559.1192411053436,5.291844210363828
newchain02,"(0, 5, 8)",525.542435944808,7.954731276678526
newchain02,"(0, 5, 9)",597.586464366084,8.836769297127493
newchain02,"(0, 6, 7)",558.5078300618865,5.569188978487591
newchain02,"(0, 6, 8)",528.0214599537345,8.23207604480229
newchain02,"(0, 6, 9)",593.5267575773775,9.114114065251254
newchain02,"(0, 7, 8)",507.0520690057938,8.606656673386103
newchain02,"(0, 7, 9)",572.1504126962138,9.488694693835068
newchain02,"(0, 8, 9)",506.61038479532647,12.151581760149767
newchain02,"(1, 2, 3)",645.5182369748131,4.687150958038624
newchain02,"(1, 2, 4)",647.5009647846895,4.409806189914862
newchain02,"(1, 2, 5)",654.5029496358596,4.409806189914862
newchain02,"(1, 2, 6)",655.4820923656548,4.687150958038625
newchain02,"(1, 2, 7)",627.4267445671082,5.0617315866224395
newchain02,"(1, 2, 8)",629.5452918150595,7.724618652937137
newchain02,"(1, 2, 9)",606.6784996161721,8.606656673386103
newchain02,"(1, 3, 4)",629.6699202909934,4.035225561331047
newchain02,"(1, 3, 5)",635.7428353731418,4.035225561331047
newchain02,"(1, 3, 6)",636.5095769404459,4.31257032945481
newchain02,"(1, 3, 7)",606.4069787936335,4.687150958038625
newchain02,"(1, 3, 8)",614.8759520605296,7.3500380243533225
newchain02,"(1, 3, 9)",587.1741091256695,8.23207604480229
newchain02,"(1, 4, 5)",639.3640927337651,3.7578807932072844
newchain02,"(1, 4, 6)",638.4289360241677,4.035225561331047
