system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha,S0,S1,S2,S3,S4
H10,identity,"(1, 5, 9)",identity_1-5-9,488.9572222500247,1.0000000000003972,252,252,3232,OK,295.92940093880316,0.5734402956236082,0.2441999962788572,0.3930745534684346,0.0953254390892799,1.8673146675877512,0.9421145833333332,0.859454,0.9674822923374116,7.954731276678526,50.60552144834372,7.805561844814962,443.7900145155727,395.00452735415695
H10,identity,"(1, 6, 7)",identity_1-6-7,544.3809363233801,1.0000000000004017,251,252,3232,OK,458.2753501346808,0.4588397102591525,0.2137990519811817,0.3930745534684346,0.0345235504939288,1.5386135524069164,0.9573332868525896,0.909321,0.987374461979914,4.687150958038625,26.820426149292445,4.426965408876634,238.1372878597694,118.733098814248
H10,identity,"(1, 6, 8)",identity_1-6-8,585.564134664561,1.0000000000003997,252,252,3232,OK,303.7640003041826,0.5596740718651256,0.2274019407239145,0.3930745534684346,0.0617293279793944,1.976857900226639,0.9360551388888888,0.8405145,0.998998139401746,7.3500380243533225,45.95522396923921,7.1502218519196825,405.22311381763905,328.5900466347174
H10,identity,"(1, 6, 9)",identity_1-6-9,484.8996585090717,1.000000000000402,252,252,3232,OK,300.6037081154602,0.5634385197749637,0.2445971400200526,0.3930745534684346,0.0961197265716706,1.8820594234389625,0.9416376031746032,0.8584775,0.931523288082202,8.23207604480229,51.84613669806938,8.075516420994338,454.8333696046898,418.68432827037645
H10,identity,"(1, 7, 8)",identity_1-7-8,577.9300398812346,1.0000000000004077,252,252,3232,OK,240.1625352889134,0.6137443107057515,0.2283513697788523,0.3930745534684346,0.0636281860892701,2.0245987735373565,0.9334803174603176,0.835523,0.8735915276152946,7.724618652937137,47.641076298521654,7.487409012518435,420.6459142082199,356.7082240436294
H10,identity,"(1, 7, 9)",identity_1-7-9,474.67299515584216,1.000000000000402,252,252,3232,OK,230.3124333400728,0.6258653439561566,0.2455465690749904,0.3930745534684346,0.0980185846815462,1.9134479499966417,0.9392440992063492,0.8513795,0.9939642497872012,8.606656673386103,53.53198902735182,8.427097710013102,470.2561699952706,451.11930214484306
H10,identity,"(1, 8, 9)",identity_1-8-9,486.22364910041506,1.0000000000004068,252,252,3232,OK,238.4666851471939,0.6131574261325994,0.2591494578177232,0.3930745534684346,0.1252243621670119,2.1561965512289443,0.9258987817460318,0.8183695,0.9463766430150052,11.2695437397008,72.6667868472986,11.048797057285551,637.3419959531402,802.8805806808291
H10,identity,"(2, 3, 4)",identity_2-3-4,540.6851205638086,1.0000000000003992,250,247,3232,OK,458.6996615694874,0.470193930372267,0.1988495904423157,0.3930745534684346,0.0046246274161968,1.2297681560769207,0.972194044,0.9530635,0.7831806436457599,1.3723384950163493,4.759160750337581,0.8857185599713067,42.82015573505291,4.2152770064609655
H10,identity,"(2, 3, 5)",identity_2-3-5,541.0026169440396,1.0000000000004077,249,248,3232,OK,458.6996615694874,0.470193930372267,0.1988495904423157,0.3930745534684346,0.0046246274161968,1.232501576396761,0.972101108433735,0.952445,0.7671071260028315,1.3723384950163493,4.759160750337582,0.9728815273218934,42.81634214640497,4.630099579558835
H10,identity,"(2, 3, 6)",identity_2-3-6,539.6067880171182,1.0000000000004028,250,251,3232,OK,458.6996615694874,0.470193930372267,0.1992467341835111,0.3930745534684346,0.0054189148985875,1.2666492956086164,0.970415776,0.947409,0.8848528015194682,1.6496832631401122,5.999776000063237,1.3126812906748726,53.859697235522084,7.875793703523135
H10,identity,"(2, 3, 7)",identity_2-3-7,530.0189981918413,1.0000000000004146,249,249,3232,OK,458.549396056509,0.4730280434619366,0.2001961632384489,0.3930745534684346,0.0073177730084632,1.3188126124504325,0.967724875502008,0.9392955,0.9522191548099384,2.024263891723927,7.6856283293456755,1.7320128788421576,69.28249762610297,13.311607248420845
H10,identity,"(2, 3, 8)",identity_2-3-8,547.5086243016101,1.0000000000004057,252,252,3232,OK,458.3386915538306,0.4590415324649288,0.2137990519811817,0.3930745534684346,0.0345235504939288,1.648750490568232,0.9531632857142858,0.8978045,0.9841901728844404,4.687150958038624,26.82042614929244,4.426965408876633,236.36832358397257,118.73309881424795
H10,identity,"(2, 4, 5)",identity_2-4-5,545.2776097498262,1.0000000000004003,247,250,3232,OK,458.6996615694874,0.470193930372267,0.1984524467011203,0.3930745534684346,0.0038303399338061,1.232982769411945,0.9721139554655872,0.9523835,0.774063537221432,1.0949937268925867,3.518545500611926,0.6955367591981307,31.68877294965582,2.4472777345867835
H10,identity,"(2, 3, 9)",identity_2-3-9,486.4930198325359,1.0000000000004066,252,252,3232,OK,301.5627342514975,0.5700632483773542,0.2309942512773198,0.3930745534684346,0.068913949086205,1.7967127703447958,0.9465328055555556,0.87157,0.956771201760591,5.569188978487591,32.71133887812261,5.331979338068889,285.97857937102333,174.4161830187193
H10,identity,"(2, 4, 6)",identity_2-4-6,542.2122562598126,1.000000000000398,249,250,3182,OK,458.6996615694874,0.470193930372267,0.1988495904423157,0.3930745534684346,0.0046246274161968,1.255823214813964,0.9711472690763052,0.949106,0.9945754716981132,1.3723384950163493,4.759160750337581,1.0497306509711217,42.732128038772935,4.995836912528081
H10,identity,"(2, 4, 7)",identity_2-4-7,532.3435046244614,1.0000000000004068,252,251,3232,OK,458.69520919153393,0.4700962892052299,0.1997990194972535,0.3930745534684346,0.0065234855260725,1.3098016073885348,0.9686132103174604,0.9405815,0.998116317400518,1.746919123600164,6.44501307962002,1.479376082839765,58.15492842935382,9.534598203579316
H10,identity,"(2, 4, 8)",identity_2-4-8,550.75311593738,1.0000000000004017,252,252,3182,OK,446.27385466703015,0.4726305812957362,0.2134019082399863,0.3930745534684346,0.0337292630115381,1.6444184028305604,0.953367123015873,0.8981105,0.8780053428317008,4.409806189914862,25.579810899566787,4.18171880481863,225.24075438722343,106.96757626242298
H10,identity,"(2, 4, 9)",identity_2-4-9,490.8176562598747,1.000000000000406,252,252,3182,OK,301.5627342514975,0.5700632483773542,0.2305971075361244,0.3930745534684346,0.0681196616038142,1.7903240870395334,0.9468328293650794,0.8720855,0.9487776484284052,5.291844210363828,31.470723628396957,5.092028037930188,274.85101017427417,160.24980708974937
H10,identity,"(2, 5, 7)",identity_2-5-7,532.3435046244169,1.000000000000406,251,250,3232,OK,458.62551271719366,0.4714804052538836,0.1997990194972535,0.3930745534684346,0.0065234855260725,1.3100991184656492,0.968426390438247,0.940426,0.9983396584440228,1.746919123600164,6.44501307962002,1.479376082839765,58.15111484070588,9.534598203579316
H10,identity,"(2, 5, 6)",identity_2-5-6,543.1771423041924,1.0000000000004046,250,252,3232,OK,457.9529596286971,0.4704020787680804,0.1988495904423157,0.3930745534684346,0.0046246274161968,1.259222170854699,0.971278708,0.9485805,0.9728224548897304,1.3723384950163495,4.759160750337582,1.03533652255111,42.728314450125,4.9273329415162435
H10,identity,"(2, 5, 8)",identity_2-5-8,551.4698100513806,1.0000000000004012,252,252,3232,OK,446.27385466703015,0.4726305812957362,0.2134019082399863,0.3930745534684346,0.0337292630115381,1.6451197534229125,0.9533690873015872,0.898256,0.9505183788878416,4.409806189914862,25.579810899566787,4.192032648519988,225.2369407985755,107.23140243395142
H10,identity,"(2, 5, 9)",identity_2-5-9,491.50023303505463,1.0000000000004052,252,252,3232,OK,238.28833543724937,0.6275684925998496,0.2305971075361244,0.3930745534684346,0.0681196616038142,1.7914850197333012,0.9467510753968252,0.8725415,0.9457099769823002,5.291844210363828,31.470723628396957,5.109732073575934,274.84719658562625,160.80696590266393
H10,identity,"(2, 6, 7)",identity_2-6-7,531.6427135952173,1.0000000000004026,249,248,3232,OK,458.549396056509,0.4730280434619365,0.2001961632384489,0.3930745534684346,0.0073177730084632,1.3377647039765528,0.9668451526104418,0.93688,0.9437472955430548,2.024263891723927,7.6856283293456755,1.7320128788421576,69.19446992982299,13.311607248420845
