group,system,chain,score,k,top1,recall,regret,regret_p90,regret_worst,beats_default_top5
heldout,H10,newchain11,S0,3,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,
heldout,H10,newchain11,S0,5,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,True
heldout,H10,newchain11,S0,10,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,
heldout,H10,newchain11,S_int,1,False,False,0.1707626888015569,0.1707626888015569,0.1707626888015569,
heldout,H10,newchain11,S_int,3,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,
heldout,H10,newchain11,S_int,5,False,False,0.041921044292197424,0.041921044292197424,0.041921044292197424,True
heldout,H10,newchain11,S_int,10,False,False,0.041921044292197424,0.041921044292197424,0.041921044292197424,
heldout,H10,newchain11,S0_plus_Sint,1,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,
heldout,H10,newchain11,S0_plus_Sint,3,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,
heldout,H10,newchain11,S0_plus_Sint,5,False,False,0.08833532596757569,0.08833532596757569,0.08833532596757569,True
heldout,H10,newchain11,S0_plus_Sint,10,False,False,0.041921044292197424,0.041921044292197424,0.041921044292197424,
heldout,H10,newchain11,__random__,1,0.0275,0.0275,1.1543167736700544,1.7380817854517265,2.0307628668496425,
heldout,H10,newchain11,__random__,3,0.0225,0.078,0.278278641778973,1.1546192772628456,1.7449727317320058,
heldout,H10,newchain11,__random__,5,0.0245,0.1245,0.1707626888015569,1.1327058405482584,1.298556012247548,
heldout,H10,newchain11,__random__,10,0.023,0.231,0.041921044292197424,0.1792531671551679,1.1524966291503487,
