triple,captured,err_sqd,err_lucj,S0,S_int,S0_plus_Sint,system,chain
"(1, 4, 7)",0.5737332499436106,260.87977530669895,586.4094777366757,4.409806189914862,14.01861137408096,-0.693526676374397,H10,rand007
"(1, 6, 7)",0.5128302772233498,310.1122018089564,593.3144755243073,4.687150958038625,14.047812904252853,-0.5805770362708707,H10,rand007
"(0, 2, 7)",0.6695513834559433,215.39947887265853,578.6990209780561,5.943769607071405,20.723880035541246,0.47977649082219154,H10,rand007
"(3, 6, 9)",0.5923666542545103,269.1237568080016,550.2798409134613,5.194608349903776,21.752351086790846,0.26751177799096004,H10,rand007
"(1, 2, 6)",0.5163581200713618,309.62763259623307,630.4643858124912,4.687150958038625,15.643872366787946,-0.44677257230013445,H10,rand007
"(1, 5, 7)",0.5185250822422232,307.4320742311212,593.478239136008,4.409806189914862,13.930357172509273,-0.7009254020557751,H10,rand007
"(0, 2, 9)",0.6609392640751481,217.85019032460883,619.881838816041,9.488694693835068,40.715825131636215,3.5681790993345466,H10,rand007
"(2, 3, 5)",0.4580023516347256,371.58477217940344,565.3726442896741,1.3723384950163493,3.2390097214873874,-2.8074347323355635,H10,rand007
"(5, 7, 9)",0.6562824502450649,219.67120761325543,539.8716358734497,5.291844210363828,20.337323354125868,0.18762533487773914,H10,rand007
"(0, 5, 7)",0.6763101581038712,212.1238972681727,571.1073022356867,5.291844210363828,19.09400873573025,0.08339297388714834,H10,rand007
"(1, 5, 6)",0.5273514390385423,303.04575867559345,620.6896403413848,4.035225561331048,14.01400106697695,-0.8431560892351775,H10,rand007
"(5, 6, 7)",0.5642934866836116,255.9476032054704,547.8985542715407,1.3723384950163493,0.42902215249857345,-3.0430079608140193,H10,rand007
"(0, 2, 6)",0.6763101581038711,212.1238972681727,600.221839158726,5.569188978487591,20.807523930008923,0.3375458036427891,H10,rand007
"(2, 6, 9)",0.6199018458143988,232.94094787676656,566.9524848961834,5.569188978487591,22.050838548404542,0.44177816463337993,H10,rand007
"(4, 6, 8)",0.4974898002373317,340.71379782044266,571.5766673100973,4.035225561331047,12.497439821091529,-0.9702958790411162,H10,rand007
"(1, 3, 5)",0.5237414350028798,304.07945309189887,610.483710384786,4.035225561331047,15.227929173430672,-0.7413873247274586,H10,rand007
"(0, 6, 7)",0.6763101581038711,212.1238972681727,569.9319744330733,5.569188978487591,19.211464467473828,0.20374133967205282,H10,rand007
