dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin,err_lucj,full_capture
15,15,225,26,26,2696,14814,OK,106.66698534174657,0.8020183055023274,identity,"(2, 5, 6)",0.233765488939742,0.46557389435310936,0.0019570835263746453,247.85509242479975,1.0000000000001315
15,15,225,26,23,2696,14814,OK,104.01992929894277,0.8030626249760254,identity,"(2, 5, 7)",0.23474403070292932,0.46557389435310936,0.003914167052749291,244.24523114676333,1.0000000000001323
15,15,225,36,36,2696,14814,OK,29.068263305447317,0.9781335524780966,identity,"(2, 5, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,224.9537484457278,1.0000000000001275
15,15,225,38,36,2696,14814,OK,33.0299463829391,0.9558504132451004,identity,"(2, 5, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,221.09361992492893,1.0000000000001286
15,15,225,26,23,2696,14814,OK,104.01992929894277,0.8030626249760254,identity,"(2, 6, 7)",0.23474403070292932,0.46557389435310936,0.003914167052749291,244.24523114676333,1.0000000000001323
15,15,225,36,36,2654,14814,OK,29.068263305447317,0.9781335524780966,identity,"(2, 6, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,224.9537484457278,1.0000000000001275
15,15,225,38,36,2654,14814,OK,33.0299463829391,0.9558504132451004,identity,"(2, 6, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,221.09361992492893,1.0000000000001286
15,15,225,36,37,2696,14814,OK,25.222162771839862,0.9802140099837235,identity,"(2, 7, 8)",0.26045250235650247,0.46557389435310936,0.0553311103598956,221.64850201534136,1.000000000000129
15,15,225,40,40,2696,14814,OK,51.57122019664939,0.9394902763932315,identity,"(2, 7, 9)",0.26360222001076805,0.46557389435310936,0.061630545668426726,218.4791036838476,1.0000000000001248
15,15,225,39,40,2654,14814,OK,33.36606662193731,0.9765678292215162,identity,"(2, 8, 9)",0.28833214990115386,0.46557389435310936,0.11109040544919838,200.8592187391116,1.0000000000001308
15,15,225,21,20,2696,14812,OK,113.99971569494483,0.7962485851786193,identity,"(3, 4, 5)",0.23278694717655468,0.46557389435310936,4.1123931627165904e-67,251.87747738830524,1.0000000000001328
15,15,225,21,20,2686,14812,OK,113.99971569494483,0.7962485851786193,identity,"(3, 4, 6)",0.23278694717655468,0.46557389435310936,2.2505177040249822e-66,251.87747738830524,1.0000000000001328
15,15,225,26,27,2696,14812,OK,106.66698534184604,0.8020183055023276,identity,"(3, 4, 7)",0.233765488939742,0.46557389435310936,0.0019570835263746453,248.20147582488516,1.000000000000134
15,15,225,32,31,2686,14812,OK,46.02280850293994,0.9581210331383865,identity,"(3, 4, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631,229.2616047512297,1.0000000000001297
15,15,225,38,34,2686,14812,OK,31.870454303643214,0.9788639618129475,identity,"(3, 4, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424,225.35157528905359,1.0000000000001275
15,15,225,21,20,2696,14814,OK,113.99971569494483,0.7962485851786193,identity,"(3, 5, 6)",0.23278694717655468,0.46557389435310936,2.607619655227535e-66,251.87747738830524,1.0000000000001328
15,15,225,26,27,2696,14814,OK,106.66698534184604,0.8020183055023276,identity,"(3, 5, 7)",0.233765488939742,0.46557389435310936,0.0019570835263746453,248.20147582488516,1.000000000000134
15,15,225,32,31,2696,14814,OK,46.02280850293994,0.9581210331383865,identity,"(3, 5, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631,229.2616047512297,1.0000000000001297
15,15,225,38,34,2696,14814,OK,31.870454303643214,0.9788639618129475,identity,"(3, 5, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424,225.35157528905359,1.0000000000001275
15,15,225,26,27,2696,14814,OK,106.66698534184604,0.8020183055023276,identity,"(3, 6, 7)",0.233765488939742,0.46557389435310936,0.0019570835263746453,248.20147582488516,1.000000000000134
15,15,225,32,31,2686,14814,OK,46.02280850293994,0.9581210331383865,identity,"(3, 6, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631,229.2616047512297,1.0000000000001297
15,15,225,38,34,2686,14814,OK,31.870454303643214,0.9788639618129475,identity,"(3, 6, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424,225.35157528905359,1.0000000000001275
15,15,225,38,34,2696,14814,OK,27.133941327647904,0.9788648172146903,identity,"(3, 7, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,225.89050181281323,1.0000000000001301
15,15,225,40,38,2696,14814,OK,51.57122019664939,0.9394902763932315,identity,"(3, 7, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,222.66688074347485,1.0000000000001257
15,15,225,44,43,2686,14814,OK,31.870454303643214,0.9788639618129477,identity,"(3, 8, 9)",0.28735360813796657,0.46557389435310936,0.10913332192282374,205.37821239115317,1.0000000000001283
15,15,225,21,20,2696,14812,OK,113.99971569494483,0.7962485851786193,identity,"(4, 5, 6)",0.23278694717655468,0.46557389435310936,2.562814274592062e-66,251.87747738830524,1.0000000000001328
15,15,225,26,27,2696,14812,OK,106.66698534184604,0.8020183055023276,identity,"(4, 5, 7)",0.233765488939742,0.46557389435310936,0.0019570835263746453,248.20147582488516,1.000000000000134
15,15,225,32,31,2696,14812,OK,46.02280850293994,0.9581210331383865,identity,"(4, 5, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631,229.2616047512297,1.0000000000001297
15,15,225,38,34,2696,14812,OK,31.870454303643214,0.9788639618129475,identity,"(4, 5, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424,225.35157528905359,1.0000000000001275
15,15,225,26,27,2696,14812,OK,106.66698534184604,0.8020183055023276,identity,"(4, 6, 7)",0.233765488939742,0.46557389435310936,0.0019570835263746453,248.20147582488516,1.000000000000134
15,15,225,32,31,2654,14812,OK,46.02280850293994,0.9581210331383865,identity,"(4, 6, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631,229.2616047512297,1.0000000000001297
