ordering,kind,perm,seed,dim,err_sub_mHa,retained_J,captured,n_unique,top1
r074,random,1698472035,2026,225,47.35169052403876,0.19977900190328007,0.9659104635100575,105,0.989231
r074,random,1698472035,7,225,44.901874159435806,0.19977900190328007,0.9659104635100575,95,0.989332
r075,random,5927634180,2026,225,44.664896552149,0.25119594521042643,0.9650539799004048,99,0.989214
r075,random,5927634180,7,225,44.664896552149,0.25119594521042643,0.9650539799004048,95,0.989322
r076,random,9053124876,2026,225,56.47202351043745,0.24121549879200896,0.958183869570724,146,0.97412
r076,random,9053124876,7,225,56.47202351043745,0.24121549879200896,0.958183869570724,160,0.97426
r077,random,2053819746,2026,225,30.054720210642927,0.2588239298589617,0.9779556359802571,150,0.974448
r077,random,2053819746,7,225,30.054720210642927,0.2588239298589617,0.9779556359802571,154,0.97455
r078,random,0763491825,2026,225,46.56101398964552,0.2617988771027716,0.9659792814594119,124,0.978001
r078,random,0763491825,7,225,46.56101398964552,0.2617988771027716,0.9659792814594119,135,0.978018
r079,random,5478601932,2026,225,42.75413526593752,0.22435519117528777,0.9497102292076094,94,0.982981
r079,random,5478601932,7,225,38.23844785614483,0.22435519117528777,0.9497102292076094,90,0.983029
r080,random,9385607241,2026,225,50.25671417534738,0.1505122046951344,0.9616535966852902,110,0.983425
r080,random,9385607241,7,225,50.25671417534738,0.1505122046951344,0.9616535966852902,112,0.983489
r081,random,3268501974,2026,225,60.6186482861375,0.22550850334893074,0.9209150050244249,106,0.984561
r081,random,3268501974,7,225,56.546227540636096,0.22550850334893074,0.9209150050244249,101,0.984603
r082,random,9324576018,2026,225,39.53086646873771,0.26949052458016776,0.972737887074901,144,0.973328
r082,random,9324576018,7,225,39.53086646873771,0.26949052458016776,0.972737887074901,148,0.973445
r083,random,1263907548,2026,225,46.56101398964552,0.24041172743927733,0.965979281459412,180,0.969152
r083,random,1263907548,7,225,46.56101398964552,0.24041172743927733,0.965979281459412,185,0.969295
r084,random,5301987462,2026,225,36.25995713814234,0.30562989534553764,0.9719932516140078,121,0.9832
r084,random,5301987462,7,225,36.25995713814234,0.30562989534553764,0.9719932516140078,133,0.983268
r085,random,4893072651,2026,225,46.56101398964552,0.20292871955754554,0.965979281459412,117,0.987609
r085,random,4893072651,7,225,46.56101398964552,0.20292871955754554,0.965979281459412,108,0.987621
r086,random,5687390214,2026,225,53.196354104443344,0.21998529413270557,0.9606853950121291,110,0.985459
r086,random,5687390214,7,225,53.196354104443344,0.21998529413270557,0.9606853950121291,111,0.985487
r087,random,2891306475,2026,225,29.14360076424316,0.2263122747016624,0.975273932714783,108,0.984015
r087,random,2891306475,7,225,29.14360076424316,0.2263122747016624,0.975273932714783,110,0.98404
r088,random,4521907836,2026,225,50.263429271041105,0.2755515266493823,0.9656912735808333,132,0.984281
r088,random,4521907836,7,225,44.79364034983746,0.2755515266493823,0.9656912735808333,132,0.984305
r089,random,3592018647,2026,225,50.25671417534738,0.2609951057500399,0.9616535966852902,165,0.965302
r089,random,3592018647,7,225,50.25671417534738,0.2609951057500399,0.9616535966852902,159,0.965504
r090,random,9186025743,2026,225,46.56101398964552,0.281246768646156,0.965979281459412,151,0.970365
r090,random,9186025743,7,225,46.56101398964552,0.281246768646156,0.965979281459412,168,0.97043
r091,random,5370481926,2026,225,53.609222645036425,0.2331154582053886,0.9606853950121291,100,0.986476
r091,random,5370481926,7,225,53.609222645036425,0.2331154582053886,0.9606853950121291,105,0.986485
r092,random,1564928307,2026,225,44.9164590125406,0.22016006454316125,0.9665290386112734,189,0.963805
r092,random,1564928307,7,225,44.9164590125406,0.22016006454316125,0.9665290386112734,194,0.963975
r093,random,7354618290,2026,225,51.571220196535705,0.26709874085603774,0.9394902763932313,122,0.986423
r093,random,7354618290,7,225,51.571220196535705,0.26709874085603774,0.9394902763932313,128,0.986433
r094,random,6024371895,2026,225,46.56101398964552,0.2608203353395842,0.965979281459412,160,0.970222
r094,random,6024371895,7,225,46.56101398964552,0.2608203353395842,0.965979281459412,168,0.970296
r095,random,7240539861,2026,225,59.75645297124288,0.16644254560117153,0.9361155811815899,98,0.986957
r095,random,7240539861,7,225,38.416211505335696,0.16644254560117153,0.9361155811815899,89,0.986945
r096,random,2354698107,2026,225,50.25671417534738,0.3057836359639159,0.9616535966852902,114,0.98738
r096,random,2354698107,7,225,31.307073886935655,0.3057836359639159,0.9616535966852902,128,0.987389
r097,random,3190746852,2026,225,43.703589818747446,0.23080836710219696,0.9779408261104372,93,0.990344
r097,random,3190746852,7,225,49.91096733014899,0.23080836710219696,0.9779408261104372,92,0.990413
r098,random,7031269854,2026,225,50.90298928433867,0.18250228625097387,0.9394214584438768,101,0.985656
r098,random,7031269854,7,225,51.69630671363734,0.18250228625097387,0.9394214584438768,113,0.985695
r099,random,6745901832,2026,225,49.22033479513743,0.30149843154227207,0.9620023579000732,119,0.98763
r099,random,6745901832,7,225,53.14949944144587,0.30149843154227207,0.9620023579000732,116,0.98764
r100,random,4398610752,2026,225,79.39364203863875,0.22452996158574345,0.8621808988402301,50,0.992471
r100,random,4398610752,7,225,78.78896764894705,0.22452996158574345,0.8621808988402301,54,0.99251
r101,random,5480921376,2026,225,53.14949944144587,0.26809831241130266,0.962002357900073,134,0.978232
r101,random,5480921376,7,225,47.82972858114931,0.26809831241130266,0.962002357900073,140,0.978293
r102,random,2174309568,2026,225,173.22975123593665,0.18664883783059708,0.7815474166828627,69,0.98832
r102,random,2174309568,7,225,173.22975123593665,0.18664883783059708,0.7815474166828627,70,0.988349
r103,random,7196403285,2026,225,35.044882817544476,0.20705744573090396,0.9717458555731512,161,0.973611
r103,random,7196403285,7,225,35.044882817544476,0.20705744573090396,0.9717458555731512,152,0.97374
r104,random,8460275319,2026,225,32.43364529834025,0.2264660153200406,0.9770425035292897,139,0.972051
r104,random,8460275319,7,225,46.69339878604717,0.2264660153200406,0.9770425035292897,140,0.972132
r105,random,6207138459,2026,225,44.673956369436496,0.16244368592748387,0.9651212314269847,142,0.983068
r105,random,6207138459,7,225,44.673956369436496,0.16244368592748387,0.9651212314269847,143,0.983112
r106,random,6804713259,2026,225,70.78854089174058,0.1729172180760639,0.890344182356144,84,0.98833
r106,random,6804713259,7,225,70.78854089174058,0.1729172180760639,0.890344182356144,89,0.988373
r107,random,6894712035,2026,225,87.55782949783963,0.1899555004890534,0.8730887512578355,109,0.983035
