ordering,permutation,err_mHa,retained_J,captured,retained_J_recomputed,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,s2_ss_L3,s2_ss_L4,s2_ss_L5,s2_ss_L6,s2_ss_L7
r008,5824317906,55.33449759304432,0.223135011786971,0.9352755300970956,0.12042242339350155,0.3062860351300113,0.24202120372765665,0.3705508665323659,0.2993611485343995,0.21164053558849047,0.3870817614803085,0.6327015564605901,0.2654031129211802,1.0,0.24862271992647123,0.11367129439749185,0.11367129439870959,0.2654031129211802,0.3373772207143099,0.5004078009479325
r009,9180657243,31.870454303643218,0.2981556513153804,0.9788639618129474,0.17481936243424354,0.2145566028766157,0.2087331818140476,0.2203800239391838,0.17865825036421673,0.3094789144930907,0.04783758623534276,0.6592861976710591,0.3185723953421182,1.0,0.2385825766607314,0.052173261117742245,0.052173261118568785,0.3185723953421182,0.4935111042178785,0.6399386497532213
r010,941768253,55.482046597944645,0.2155070271384357,0.9351703210028772,0.1112422704098395,0.19997137355418032,0.17995310362147365,0.21998964348688702,0.2959629091470172,0.198791340230477,0.3931344780635574,0.560247174754197,0.12049434950839413,1.0,0.1495234838572426,0.0,0.10069350283276471,0.12049434950839413,0.17266761062613636,0.40955956020772466
r011,4923601587,21.654647891949708,0.2062536743781723,0.9823124393334214,0.0932751172713002,0.20917110833664598,0.1948048593003182,0.22353735737297373,0.17938815937649952,0.31403948881805077,0.04473682993494825,0.7058458671669958,0.41169173433399164,1.0,0.34123750796608,0.09084824074044882,0.286199980899054,0.41169173433399164,0.525154797031682,0.9278176605076529
r012,2957430168,51.69630671363734,0.1730919884865195,0.9394214584438768,0.06299915313667426,0.2739938982630774,0.15668308652826762,0.3913047099978872,0.18115845301919306,0.3010275558101311,0.061289350228255025,0.6467360017797296,0.340644340267054,0.9528276632924052,0.2762241214528274,0.0710473940659618,0.09084824074127427,0.340644340267054,0.6626227792866655,0.7562849953087268
r013,1726835490,31.307073886935655,0.2594707562075025,0.9762021976868118,0.1476927653434813,0.20355254489297764,0.18734426738586532,0.21976082240008993,0.371857851169187,0.19813953063018636,0.5455761717081877,0.5403422122286671,0.08068442445733424,1.0,0.1352585844871576,0.0,0.08068442445733424,0.08068442445733424,0.08068442445733424,0.5350000591219548
r014,8345709126,34.374731085286214,0.2659271365202244,0.965053979900405,0.15672488272869983,0.18351969772896984,0.14412123962405815,0.22291815583388153,0.17558843576329308,0.23909797478013398,0.11207889674645219,0.5633133494305869,0.12662669886117373,1.0,0.21398305604338758,0.020009078375430468,0.07218233949234716,0.12662669886117373,0.5173301791785346,0.8084582564256446
r015,1428750963,47.60473525284681,0.2123573094841702,0.960926655207693,0.10476881625255974,0.23930109081006007,0.2378586946677132,0.24074348695240694,0.32266710981473756,0.1862797475083295,0.45905447212114564,0.6741092520537306,0.3482185041074612,1.0,0.20848982761719356,0.0,0.08068442445733424,0.3482185041074612,0.4026628634771878,0.6201378030776669
r016,6451380927,36.97447688499267,0.2327654506285716,0.965053979900405,0.12644891859407387,0.31617031707449017,0.24103592415109398,0.3913047099978863,0.1485711268869929,0.23585290354573077,0.061289350228255025,0.6634896817140163,0.37415170013562754,0.9528276632924052,0.3438007841895016,0.07218233949234719,0.3197073407679445,0.37415170013562754,0.6201378030773497,0.9091517592580914
r017,1549632870,50.520949364340595,0.1632474572802154,0.9616570316585732,0.05952703042481462,0.2033135275936177,0.16588356823482844,0.24074348695240694,0.2552195631087034,0.051384654096261195,0.45905447212114564,0.43981949253975233,0.01980084667645543,0.8598381384030492,0.10158538932653899,0.0,0.0,0.01980084667645543,0.185645402190864,0.2566927962569008
