triple,budget,status,err_mHa,captured,wall_s,dim
"(1, 7, 8)",5,OK,465.9875781404228,0.4049847886298761,1.096222162246704,25
"(1, 7, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1171290874481201,64
"(1, 7, 8)",10,OK,458.8115905347472,0.43806444073576223,1.1115379333496094,100
"(1, 7, 8)",15,OK,240.1625352889134,0.6137443107057515,1.1191699504852295,225
"(1, 7, 9)",5,OK,465.9875781404228,0.40498478862987614,1.1194348335266113,25
"(1, 7, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1131079196929932,64
"(1, 7, 9)",10,OK,376.3130208352452,0.490961322456967,1.1095788478851318,100
"(1, 7, 9)",15,OK,230.3124333400728,0.6258653439561566,1.1241519451141357,225
"(1, 8, 9)",5,OK,393.2848699614375,0.4460201199522659,1.1382532119750977,25
"(1, 8, 9)",8,OK,388.2782914952854,0.47165006314752816,1.1390221118927002,64
"(1, 8, 9)",10,OK,376.3130208352417,0.490961322456961,1.1290910243988037,100
"(1, 8, 9)",15,OK,238.46668514719394,0.6131574261325994,1.135085105895996,225
"(2, 3, 4)",5,OK,465.9875781404228,0.40498478862987614,1.0997130870819092,25
"(2, 3, 4)",8,OK,458.81235333945904,0.43786136826828376,1.1258738040924072,64
"(2, 3, 4)",10,OK,458.76238480906386,0.4579017873727404,1.1312062740325928,100
"(2, 3, 4)",15,OK,458.6996615694874,0.470193930372267,1.1293280124664307,225
"(2, 3, 5)",5,OK,465.9875781404228,0.40498478862987614,1.0992748737335205,25
"(2, 3, 5)",8,OK,458.81235333945904,0.43786136826828376,1.1212139129638672,64
"(2, 3, 5)",10,OK,458.76238480906386,0.4579017873727404,1.1281569004058838,100
"(2, 3, 5)",15,OK,458.6996615694874,0.470193930372267,1.1299078464508057,225
"(2, 3, 6)",5,OK,465.9875781404228,0.40498478862987614,1.1025547981262207,25
"(2, 3, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1281647682189941,64
"(2, 3, 6)",10,OK,458.76238480906386,0.4579017873727404,1.1256709098815918,100
"(2, 3, 6)",15,OK,458.6996615694874,0.470193930372267,1.1284360885620117,225
"(2, 3, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1014618873596191,25
"(2, 3, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1279900074005127,64
"(2, 3, 7)",10,OK,458.76238480906386,0.4579017873727404,1.1222484111785889,100
"(2, 3, 7)",15,OK,458.549396056509,0.4730280434619366,1.1485671997070312,225
"(2, 3, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1017701625823975,25
"(2, 3, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1268401145935059,64
"(2, 3, 8)",10,OK,458.76238480906386,0.45790178737274034,1.1255719661712646,100
"(2, 3, 8)",15,OK,458.3386915538306,0.4590415324649288,1.133842945098877,225
"(2, 3, 9)",5,OK,465.9875781404228,0.40498478862987614,1.102978229522705,25
"(2, 3, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1256279945373535,64
"(2, 3, 9)",10,OK,376.27069286999415,0.4912649537856198,1.127856969833374,100
"(2, 3, 9)",15,OK,301.5627342514975,0.5700632483773542,1.1328058242797852,225
"(2, 4, 5)",5,OK,465.9875781404228,0.40498478862987614,1.1023750305175781,25
"(2, 4, 5)",8,OK,458.81235333945904,0.43786136826828376,1.125549077987671,64
"(2, 4, 5)",10,OK,458.76238480906386,0.4579017873727404,1.1261029243469238,100
"(2, 4, 5)",15,OK,458.6996615694874,0.470193930372267,1.1275429725646973,225
"(2, 4, 6)",5,OK,465.9875781404228,0.40498478862987614,1.1101467609405518,25
"(2, 4, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1362786293029785,64
"(2, 4, 6)",10,OK,458.76238480906386,0.4579017873727404,1.1388568878173828,100
"(2, 4, 6)",15,OK,458.6996615694874,0.470193930372267,1.1311438083648682,225
"(2, 4, 7)",5,OK,465.9875781404228,0.40498478862987614,1.103172779083252,25
"(2, 4, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1342787742614746,64
"(2, 4, 7)",10,OK,458.76238480906386,0.4579017873727404,1.1291110515594482,100
"(2, 4, 7)",15,OK,458.69520919153393,0.47009628920522994,1.1362502574920654,225
"(2, 4, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1144819259643555,25
"(2, 4, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1291229724884033,64
"(2, 4, 8)",10,OK,458.77490357820074,0.44855862873071395,1.1327838897705078,100
"(2, 4, 8)",15,OK,446.27385466703015,0.4726305812957362,1.1365690231323242,225
"(2, 4, 9)",5,OK,465.9875781404228,0.40498478862987614,1.108548641204834,25
"(2, 4, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1306102275848389,64
"(2, 4, 9)",10,OK,306.8961530785872,0.5481624084362076,1.130342960357666,100
"(2, 4, 9)",15,OK,301.5627342514975,0.5700632483773542,1.125999927520752,225
"(2, 5, 6)",5,OK,465.9875781404228,0.40498478862987614,1.1054987907409668,25
"(2, 5, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1327166557312012,64
"(2, 5, 6)",10,OK,458.76238480906386,0.4579017873727404,1.1367979049682617,100
"(2, 5, 6)",15,OK,457.9529596286971,0.4704020787680804,1.133244276046753,225
"(2, 5, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1035311222076416,25
