chain,triple,err_lucj,full_capture
identity,"(4, 9, 11)",654.1057072377043,1.0000000000006826
identity,"(4, 10, 11)",613.1816774454819,1.0000000000007485
identity,"(5, 6, 7)",723.9656977249069,1.0000000000004516
identity,"(5, 6, 8)",723.43404016965,1.000000000000492
identity,"(5, 6, 9)",722.452759960106,1.0000000000004938
identity,"(5, 6, 10)",681.6538778348331,1.0000000000005596
identity,"(5, 6, 11)",674.2608865629336,1.0000000000006988
identity,"(5, 7, 8)",715.30730819768,1.000000000000506
identity,"(5, 7, 9)",713.8689856524252,1.000000000000547
identity,"(5, 7, 10)",672.778819771338,1.0000000000005924
identity,"(5, 7, 11)",668.3246014194992,1.0000000000006855
identity,"(5, 8, 9)",713.512753613486,1.0000000000005045
identity,"(5, 8, 10)",672.4037538670018,1.00000000000061
identity,"(5, 8, 11)",668.0346267180539,1.0000000000006801
identity,"(5, 9, 10)",671.654186188789,1.0000000000006177
identity,"(5, 9, 11)",664.9912487546317,1.0000000000007165
identity,"(5, 10, 11)",623.6312805904163,1.0000000000007305
identity,"(6, 7, 8)",715.3926451314874,1.0000000000004814
identity,"(6, 7, 9)",713.9244614140807,1.0000000000005378
identity,"(6, 7, 10)",672.8088654626845,1.0000000000005689
identity,"(6, 7, 11)",668.5505559221383,1.0000000000006946
identity,"(6, 8, 9)",713.5732487013229,1.0000000000005087
identity,"(6, 8, 10)",672.4387477465825,1.00000000000058
identity,"(6, 8, 11)",668.2678415477312,1.0000000000006972
identity,"(6, 9, 10)",671.6593899354848,1.000000000000629
identity,"(6, 9, 11)",665.1960169660924,1.0000000000007188
identity,"(6, 10, 11)",623.8094497284692,1.0000000000007059
identity,"(7, 8, 9)",705.7165406804415,1.0000000000005291
identity,"(7, 8, 10)",664.2880471017634,1.000000000000643
identity,"(7, 8, 11)",663.0158379607565,1.0000000000007103
identity,"(7, 9, 10)",663.0528605692234,1.0000000000006324
identity,"(7, 9, 11)",659.5199014977879,1.0000000000007068
identity,"(7, 10, 11)",617.8013316962279,1.0000000000007123
identity,"(8, 9, 10)",662.8558887673535,1.0000000000006615
identity,"(8, 9, 11)",659.4018636369583,1.0000000000007339
identity,"(8, 10, 11)",617.6651469336321,1.0000000000007292
identity,"(9, 10, 11)",614.8349058439635,1.000000000000729
reverse,"(0, 1, 2)",614.6149453365979,1.000000000000735
reverse,"(0, 1, 3)",617.4400817344576,1.0000000000007387
reverse,"(0, 1, 4)",617.6150227529433,1.0000000000007112
reverse,"(0, 1, 5)",623.6280067573716,1.000000000000712
reverse,"(0, 1, 6)",623.4501673425257,1.000000000000715
reverse,"(0, 1, 7)",613.0054619188741,1.0000000000007672
reverse,"(0, 1, 8)",611.796761194455,1.000000000000747
reverse,"(0, 1, 9)",612.7982942671224,1.0000000000007574
reverse,"(0, 1, 10)",577.7023776181522,1.0000000000007703
reverse,"(0, 1, 11)",561.9773054554571,1.0000000000007685
reverse,"(0, 2, 3)",659.1653582718209,1.0000000000007219
reverse,"(0, 2, 4)",659.3184785219819,1.0000000000007117
reverse,"(0, 2, 5)",665.0092818135818,1.0000000000007354
reverse,"(0, 2, 6)",664.8054552019858,1.000000000000715
reverse,"(0, 2, 7)",653.9356273833619,1.0000000000006748
reverse,"(0, 2, 8)",652.6680696993026,1.0000000000007185
reverse,"(0, 2, 9)",653.9699256650238,1.0000000000007205
reverse,"(0, 2, 10)",615.0394831474841,1.0000000000007536
reverse,"(0, 2, 11)",601.3712470808059,1.000000000000697
reverse,"(0, 3, 4)",662.8200984932846,1.0000000000006757
reverse,"(0, 3, 5)",668.0834192147813,1.0000000000007279
reverse,"(0, 3, 6)",667.8509330608904,1.0000000000007025
reverse,"(0, 3, 7)",656.5302669805533,1.0000000000006752
reverse,"(0, 3, 8)",655.3815835350179,1.0000000000007239
reverse,"(0, 3, 9)",656.5890770589249,1.000000000000733
reverse,"(0, 3, 10)",618.0286702365265,1.000000000000753
reverse,"(0, 3, 11)",602.5426954784052,1.0000000000006302
reverse,"(0, 4, 5)",668.4036690621724,1.0000000000006721
reverse,"(0, 4, 6)",668.1785401069646,1.0000000000006708
reverse,"(0, 4, 7)",657.227321503342,1.000000000000705
reverse,"(0, 4, 8)",655.4204390354244,1.0000000000006946
reverse,"(0, 4, 9)",656.7499464167668,1.0000000000006988
reverse,"(0, 4, 10)",618.1326475170863,1.0000000000007412
reverse,"(0, 4, 11)",603.8807889103737,1.0000000000006095
reverse,"(0, 5, 6)",674.1276471248057,1.0000000000007174
reverse,"(0, 5, 7)",663.4915410622853,1.0000000000006903
reverse,"(0, 5, 8)",662.010739049947,1.0000000000007088
reverse,"(0, 5, 9)",662.9179224050858,1.0000000000007108
reverse,"(0, 5, 10)",623.9104581095489,1.0000000000007396
reverse,"(0, 5, 11)",611.5507663644166,1.000000000000564
