E_lucj,err_lucj,overlap,full_capture,triple,ordering,triple_str,err_sqd
-4.32527588214867,640.7952061771507,0.29281453690877596,1.0000000000004052,"(1, 6, 8)",rand007,"(1, 6, 8)",221.6377001311667
-4.379661610589145,586.4094777366757,0.3011484334970931,1.0000000000004083,"(1, 4, 7)",rand007,"(1, 4, 7)",260.87977530669895
-4.394222092547928,571.8489957778932,0.2980217064915263,1.0000000000004075,"(2, 4, 6)",rand007,"(2, 4, 6)",372.8896294803494
-4.372756612801513,593.3144755243073,0.29906804065942577,1.0000000000004083,"(1, 6, 7)",rand007,"(1, 6, 7)",310.1122018089564
-4.387372067347765,578.6990209780561,0.3445384884075607,1.0000000000004075,"(0, 2, 7)",rand007,"(0, 2, 7)",215.39947887265853
-4.4157912474123595,550.2798409134613,0.36555120035212124,1.0000000000004035,"(3, 6, 9)",rand007,"(3, 6, 9)",269.1237568080016
-4.33560670251333,630.4643858124912,0.27175975449727263,1.0000000000003957,"(1, 2, 6)",rand007,"(1, 2, 6)",309.62763259623307
-4.372592849189813,593.478239136008,0.2966824609152006,1.0000000000003972,"(1, 5, 7)",rand007,"(1, 5, 7)",307.4320742311212
-4.34618924950978,619.881838816041,0.348962221553588,1.000000000000409,"(0, 2, 9)",rand007,"(0, 2, 9)",217.85019032460883
-4.426199452452371,539.8716358734497,0.38040283880310394,1.0000000000003997,"(5, 7, 9)",rand007,"(5, 7, 9)",219.67120761325543
-4.400698444036147,565.3726442896741,0.30149159902008277,1.0000000000004086,"(2, 3, 5)",rand007,"(2, 3, 5)",371.58477217940344
-4.394963786090134,571.1073022356867,0.34340306892772554,1.000000000000404,"(0, 5, 7)",rand007,"(0, 5, 7)",212.1238972681727
