ordering,captured,cap_alpha,cap_beta,cap_product,missed_mHa_proxy,err_sub_mHa,err_var_mHa,retained_J,top1,n_unique
q073,0.9634433104313483,0.9727724171066053,0.9727724171066048,0.9462861754834269,0.03655668956865166,52.23837528120612,206.1402905722645,0.1599225029378242,0.988026,117
q074,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,189.31220584968855,0.1770244478338711,0.97871,164
q075,0.9577848935713289,0.9697056545847484,0.9647903135303739,0.9355626225189959,0.0422151064286711,57.29896661230782,210.11661305108476,0.1546409309111147,0.986014,132
q076,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,203.20619609009327,0.2188136900914001,0.977747,199
q077,0.9596425813363577,0.9713890486938884,0.9713890486938879,0.943596683922417,0.040357418663642286,45.44012350510229,254.61425588636644,0.2960055042929346,0.985248,138
q078,0.9835688300714003,0.9883272967193157,0.9883272967193153,0.97679084544051,0.01643116992859972,23.163986107007872,215.812391160938,0.2072322159458947,0.986309,126
q079,0.9576904985262548,0.9658106063464136,0.965810606346413,0.9327901273312266,0.04230950147374524,53.476525806004815,192.77586772182076,0.2822253101821657,0.971821,209
q080,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,241.38688435969868,0.3034765448163196,0.987459,117
q081,0.9634433104313483,0.9727724171066053,0.9727724171066048,0.9462861754834269,0.03655668956865166,52.23837528120612,211.34421120200383,0.2147032564692796,0.984444,133
q082,0.9549515102411253,0.9635232162167932,0.9635232162167925,0.9283769881887525,0.045048489758874655,36.625261441002976,263.94023821198687,0.1719386761532151,0.988713,77
q083,0.9656228488041837,0.9721596874795533,0.9721596874795527,0.9450944579603422,0.0343771511958163,44.20044876960105,200.06383967243835,0.16639717547566,0.983108,171
q084,0.9791387770168739,0.9848428151210142,0.9848428151210138,0.9699153704954838,0.020861222983126093,28.83748232110861,207.64717381378264,0.2146854302803068,0.968154,164
q085,0.9575443266176927,0.9655401245868057,0.9801720873919969,0.9463954793769781,0.04245567338230727,54.633930275102216,228.0539383584852,0.1988004598149064,0.98998,100
q086,0.9555375537908688,0.9665125169689378,0.9665125169689374,0.9341464454576308,0.0444624462091312,59.62042239720233,210.00174897226032,0.2145284860502398,0.985491,127
q087,0.9635263000459405,0.9758099909446774,0.9758099909446768,0.9522051384274508,0.03647369995405947,47.73218630670328,224.51293636500225,0.2596487305616348,0.977071,136
q088,0.9601992876824474,0.9674517656520549,0.9674517656520545,0.9359629188632782,0.039800712317552556,50.166975939504255,179.86433763510945,0.2486687136273031,0.97083,206
q089,0.9756346254565901,0.9836193748918175,0.983619374891817,0.9675070746625694,0.024365374543409923,31.042566544698506,228.60745446077144,0.2563237760383161,0.988211,110
q090,0.9556890763458236,0.9647903135303744,0.9648760054905636,0.9309030238551761,0.04431092365417644,59.2425031511965,211.35100075045443,0.2145106598612667,0.980798,152
q091,0.962161543118774,0.971220438796436,0.9712204387964356,0.9432691407359414,0.037838456881226,52.77202678379922,166.87138907083465,0.199558861256147,0.971868,209
q092,0.9665786241559158,0.9726440229877441,0.9726440229877436,0.9460363954537827,0.03342137584408422,42.18845572260932,219.7405098016816,0.2052541024257284,0.982449,137
q093,0.9601992876824474,0.9674517656520549,0.9674517656520545,0.9359629188632782,0.039800712317552556,50.166975939504255,183.747385147214,0.1909523347061189,0.968026,220
q094,0.9604669854554064,0.9674889597505365,0.967488959750536,0.9360348872391747,0.03953301454459357,49.27020591030384,222.75470935558417,0.1996042311924427,0.986486,125
q095,0.9667265150846127,0.9726812170862257,0.972681217086225,0.9461087500723406,0.033273484915387286,41.3107508382069,198.38062586076433,0.1644007696767591,0.986101,134
q096,0.9601457555351237,0.9674889597505365,0.9674517656520545,0.935998902359526,0.03985424446487629,50.19545725980379,205.26837085810712,0.1587691907222081,0.983163,156
q097,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,219.5626358297744,0.2103819339604118,0.974194,155
q098,0.959705936267142,0.9684822143555517,0.9674517656520545,0.93695982828089,0.04029406373285804,51.34585807989822,193.13677011570007,0.2402369574963148,0.972873,197
q099,0.9567306104124322,0.9655192623639226,0.965519262363922,0.9322274459957727,0.043269389587567764,56.26839023339869,206.2409744450235,0.215507027846816,0.985023,145
q100,0.9672408075950256,0.9789989317189485,0.9789989317189481,0.958438908306842,0.03275919240497438,44.99307245370687,198.7930652497738,0.2266801074789222,0.975286,161
q101,0.9580805973845231,0.9658106063464136,0.9809477668826789,0.9474097575271205,0.041919402615476886,52.67222544820527,226.5238219166008,0.2596665567506077,0.971552,179
q102,0.95623144914394,0.9665497110674194,0.965519262363922,0.9332223640678767,0.04376855085606002,57.73780778460491,209.07236696153575,0.2145284860502398,0.984459,127
q103,0.9790729010655856,0.9848428151210142,0.9853480128520876,0.9704129108511473,0.020927098934414357,29.02735871640516,205.26911294383865,0.2158387424959229,0.975672,164
q104,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.6851747459981,223.0431328924567,0.2019291479024098,0.989069,109
q105,0.9623891649403751,0.9705185281739118,0.9705185281739113,0.9419062135288555,0.037610835059624925,48.91338038549975,192.43667751135263,0.2329585135809427,0.979274,144
q106,0.9623652251419854,0.9707115196996118,0.9706951878240127,0.9422650009377475,0.037634774858014586,49.87564487029772,212.4077407868299,0.1548157013301546,0.984138,127
q107,0.970724501860406,0.9809314350070808,0.9809314350070806,0.9622264801850505,0.02927549813959396,38.88629157530943,199.78093590772517,0.2266801074789222,0.96268,202
q108,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,224.6017456554057,0.2614488699247204,0.98556,129
q109,0.9562446305817321,0.9665125169689378,0.9675429656724343,0.9351423870276551,0.04375536941826785,60.42767558589901,186.10097300563663,0.1828701194132104,0.975551,181
q110,0.9582602247008483,0.971962676215545,0.9719626762155442,0.9447114439560836,0.04173977529915174,48.919134030199984,221.10235864323613,0.208210757742471,0.968626,146
q111,0.9422015989763648,0.9572889889645869,0.9572889889645863,0.9164022083928404,0.057798401023635204,66.09804469900382,216.73416025515735,0.1557942431267309,0.984343,120
q112,0.9618719190882075,0.9727724171066053,0.9705185281739113,0.9440936544984807,0.03812808091179254,52.68558412630853,217.24558367697,0.2103819339604118,0.969769,165
q113,0.96021374107329,0.9739446550782908,0.9739446550782904,0.9485681911555705,0.03978625892670995,48.31329220949954,247.73200260992212,0.2435889896771946,0.978309,141
q114,0.9570246710609756,0.9675429656724347,0.9675429656724343,0.9361393904222097,0.04297532893902445,61.30317046979883,212.78231071180187,0.2669450006659799,0.988025,126
q115,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,164.02648663506625,0.2084038204402455,0.965924,200
q116,0.96974594711783,0.9804262372760069,0.9804262372760066,0.9612356067391887,0.03025405288216998,38.867463342697306,199.92568996187288,0.2276586492754985,0.975573,171
q117,0.9826583260014737,0.9873177102387021,0.9873177102387015,0.9747962609509931,0.017341673998526264,23.454182181509964,165.31585900098378,0.2608203350559855,0.96591,181
q118,0.9650971877549241,0.9726857474335102,0.9726857474335097,0.9461175632602858,0.034902812245075854,46.49230388619685,198.90024464849887,0.2896785245165777,0.973237,172
q119,0.9732629130100204,0.9832016558153728,0.9832016558153724,0.9666854959980904,0.026737086989979564,36.47362491660999,227.3140701742875,0.2532133802295474,0.984197,130
q120,0.9480547321509823,0.9697056545847484,0.9555705068917734,0.926622123887367,0.05194526784901765,66.79999190960473,206.5503441810677,0.2198105241667109,0.978333,160
q121,0.9575505057616684,0.9658106063464136,0.965810606346413,0.9327901273312266,0.04244949423833155,53.542404517301634,222.4261132977574,0.2039072614225761,0.988364,116
q122,0.970704970909354,0.9809477668826793,0.9809477668826789,0.962258521352115,0.029295029090645963,36.35063205649658,214.99077573473355,0.2747903881264882,0.976798,117
q123,0.9567601391462937,0.9652890767397412,0.9652890767397407,0.9317830016730615,0.04323986085370635,56.167596635106065,195.8524370053425,0.2812467683855894,0.977495,161
q124,0.9721733197711803,0.9826801262087004,0.9826801262087002,0.965660230445547,0.027826680228819733,39.2265145957964,225.17195122750877,0.2626236781571119,0.962517,202
q125,0.95623144914394,0.9655401245868057,0.965519262363922,0.9322475888738221,0.04376855085606002,57.73780778460491,222.2788344363522,0.2039255537013107,0.989585,100
q126,0.9575505057616684,0.9658106063464136,0.965810606346413,0.9327901273312266,0.04244949423833155,53.542404517301634,223.4128371086257,0.2019501778294235,0.987387,129
q127,0.957784893571329,0.9647903135303744,0.9697056545847479,0.9355626225189958,0.04221510642867099,57.29896661230782,175.40952867554438,0.1909523347061188,0.971475,216
q128,0.9793448929969328,0.9873880480361986,0.9863947934311829,0.973954429679085,0.020655107003067164,30.30007123150824,259.9217485194458,0.2426104478806182,0.973794,160
q129,0.9585178704560056,0.9714099109167715,0.971409910916771,0.9436372150273294,0.04148212954399444,48.11266219610389,262.6446703001335,0.2940484206997821,0.976585,152
q130,0.9357657061933764,0.9514698066311378,0.951469806631137,0.905294792930694,0.0642342938066236,77.44560758649754,219.2702184230768,0.1540119299526182,0.98588,127
q131,0.9747241213866635,0.9826097884112038,0.9826097884112033,0.9655219962815103,0.025275878613336467,31.314477090106152,267.4278002821069,0.2255085029845714,0.979851,131
q132,0.9585054718424032,0.9663158040774874,0.9809477668826789,0.9479053301132515,0.0414945281575968,52.773917072798326,202.097461663854,0.226309070624067,0.97647,145
q133,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,159.0288205313044,0.2629704813469126,0.967039,174
q134,0.9623891649403751,0.9705185281739118,0.9705185281739113,0.9419062135288555,0.037610835059624925,48.91338038549975,219.2858705709,0.202907689698986,0.985112,116
q135,0.9716564285785025,0.980629717555372,0.9806297175553714,0.961634642952728,0.02834357142149746,36.43830029710671,243.33154185569583,0.3024801768307703,0.976967,136
q136,0.9564102710656807,0.9632699037785137,0.9674726278749375,0.9319372651614368,0.04358972893431934,55.997877412409025,235.2052334235566,0.2502174027070565,0.978574,147
q137,0.9661732004364683,0.9729514004732757,0.9863947934311829,0.9597141956884169,0.03382679956353174,41.45596984110966,218.91992104755784,0.2062536741493184,0.983339,118
q138,0.9748504416832,0.9821045906801299,0.9821045906801293,0.9645294270349849,0.02514955831679999,30.91832850270748,231.6702280927387,0.2502174027070564,0.985449,124
q139,0.8702201774302405,0.9003222849544408,0.9003222849544401,0.8105802167855847,0.1297798225697595,77.70906226269858,246.30282453026095,0.2339402591155598,0.993746,54
q140,0.970724501860406,0.9809314350070808,0.9809314350070806,0.9622264801850505,0.02927549813959396,38.88629157530943,202.8699974446937,0.2274838788564586,0.968149,181
q141,0.9800985272613779,0.986378461555585,0.9863784615555846,0.9729424694207622,0.019901472738622084,30.986678435297677,195.34891866386772,0.2370689472030631,0.967102,179
q142,0.9662031548848048,0.9853852069505697,0.972702079309108,0.9584862397212549,0.033796845115195207,42.79706927199811,266.1418620039342,0.2178594883041058,0.989447,87
q143,0.9582602247008483,0.971962676215545,0.9719626762155442,0.9447114439560836,0.04173977529915174,48.919134030199984,221.9930485078976,0.2596277006346211,0.983474,121
q144,0.9589805059808297,0.9714099109167715,0.9719046198941798,0.9441177802310039,0.041019494019170266,47.283737961109296,248.0028243200394,0.2435889896771945,0.986811,103
q145,0.9582332476375153,0.9665125169689379,0.9684822143555513,0.9360501826364344,0.04176675236248473,56.3031204470974,215.0351472537011,0.2669450006659798,0.986466,120
q146,0.944846853246975,0.9543597421228398,0.9641842507554969,0.9201786329099195,0.05515314675302496,63.3114212873096,253.37559931212184,0.2331154578110097,0.987732,105
q147,0.8525804642590536,0.8757335974962401,0.8757335974962394,0.7669093337837061,0.14741953574094635,99.16073416580672,226.10948539704623,0.138692298230684,0.990196,88
