ordering,err_mHa,captured,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,retained_J,retained_J_samespin,retained_J_oppspin
rand039,303.2000513751205,0.5333101903768371,0.2679095699635045,0.23208870073580165,0.3037304391912074,0.35450038867646555,0.23505652394371232,0.47394425340921875,0.6665800470001647,0.33316009400032937,1.0,0.3066678916580076,0.25094715473917784,0.4038757247968094,0.09801858468154624
rand040,272.6496209692355,0.5740713354321799,0.24557862137709136,0.1902648784729986,0.3008923642811841,0.18667405621016847,0.13604315982441406,0.23730495259592288,0.7316628703658851,0.46332574073177013,1.0,0.3321778272687112,0.17528928038210448,0.3168492977526708,0.03372926301153811
rand041,307.6131319359914,0.548212793108495,0.2260066037423123,0.16115686984277264,0.2908563376418519,0.25368159711817145,0.18550880298633715,0.32185439125000576,0.5863512485837007,0.17270249716740144,1.0,0.15759414188457688,0.23110893392444187,0.3914050606528031,0.07081280719608063
rand042,221.15204072072635,0.6298891933241471,0.23492763027543395,0.18133263814155762,0.28852262240931026,0.2566813704187254,0.2816555264112146,0.23170721442623615,0.5687972789529315,0.21045299058457187,0.9271415673212913,0.23039376652860627,0.22695260071269183,0.4212805090413305,0.032624692384053154
rand043,308.5958691465942,0.52965338708504,0.25074718786750727,0.19830669410586946,0.3031876816291451,0.21424131867961205,0.20893818866426045,0.21954444869496365,0.6801898198891514,0.3603796397783027,1.0,0.25271182558832456,0.21504341773931662,0.39825643057697074,0.03183040490166244
rand044,236.0160073700781,0.6101974075350818,0.23269177134503574,0.17452720504821956,0.2908563376418519,0.24406130943001283,0.16626822761001991,0.32185439125000576,0.610236588728789,0.220473177457578,1.0,0.18146235376445033,0.2029954749218226,0.33517814264756457,0.07081280719608063
rand045,182.35529951151318,0.6964716249020897,0.24220682946816413,0.17064719310913481,0.3137664658271934,0.2954561453260016,0.15293489571090255,0.4379773949411007,0.6136362463538126,0.22727249270762523,1.0,0.24529212252961172,0.21770260068423233,0.3400797622791848,0.0953254390892799
rand046,222.07898207172065,0.6526305072942443,0.2594304860108791,0.20509450619456476,0.3137664658271934,0.27833482998633596,0.11869226503157118,0.4379773949411007,0.5920491385017247,0.18409827700344933,1.0,0.18708845741410213,0.1729156610256632,0.25050588296204646,0.0953254390892799
rand047,383.16234867839637,0.4471277612703577,0.27371533018726424,0.25849237378362494,0.28893828659090354,0.11158177775318222,0.15561257170942486,0.06755098379693958,0.7318918665194164,0.46378373303883286,1.0,0.3709302141811811,0.1428910042096114,0.28115738100302595,0.004624627416196836
rand048,223.11024427236336,0.6513774125452478,0.2611868879660689,0.23376245802001755,0.2886113179121203,0.2333357174548986,0.16804437224283425,0.29862706266696293,0.6504846306224503,0.30096926124490053,1.0,0.23198716719843232,0.19915507329649923,0.32939619750679344,0.06891394908620502
rand049,278.37137418178503,0.569287733046798,0.2617361070820472,0.21983047047904314,0.30364174368505126,0.2913407412689664,0.12707449718347597,0.4556069853544569,0.632234007533119,0.2644680150662379,1.0,0.23868212784878337,0.17906341489819974,0.26200710322472887,0.09611972657167056
retainedJ_max,295.8198576831057,0.5749080116609866,0.23259150432969578,0.1615412649705585,0.303641743688833,0.28275636207481486,0.2923305839597652,0.27318214018986453,0.5696638918570571,0.13932778371411417,1.0,0.17438367899683102,0.2939370001511948,0.521653196808451,0.06622080349393855
reverse,295.92940093880316,0.5734402956236082,0.23218514470226523,0.14839720173418003,0.3159730876703504,0.3019699644440816,0.16579100402022162,0.43814892486794155,0.5472025560278337,0.0944051120556674,1.0,0.16190393350724216,0.24419999627885725,0.3930745534684346,0.0953254390892799
s1_max,219.9049260850092,0.6547827697182127,0.3269209185391745,0.3377416560237477,0.31610018105460125,0.4964131418705036,0.31854616869410635,0.6742801150469009,0.8640138306481605,0.728027661296321,1.0,0.5370175680204469,0.24538696653534187,0.3311591723113957,0.15961476075928802
s2_max,192.1237569938841,0.6694664723263456,0.31843380005409644,0.33335294979991564,0.30351465030827723,0.2930385024700342,0.34842558368055826,0.23765142125951016,0.8431971685255485,0.686394337051097,1.0,0.5127364403025939,0.22668549480836167,0.4196417266051853,0.03372926301153811
